"","rdate","rtime","rno","rname","rcode","sex","age","rent","exercise","co2","distance","utime"
"1","2021-06-01",0,2169,"2169. 봉천역 2번출구","정기권","","~10대",1,"8.75","0.08",350.53,3
"3","2021-06-01",0,1282,"1282. 송파소방서 맞은편(성내4교)","정기권","","~10대",1,"26.30","0.18",772.25,6
"4","2021-06-01",0,1288,"1288. 문정중교 사거리","정기권","","~10대",1,"27.50","0.30",1285.82,5
"6","2021-06-01",0,2505,"2505. 우성아파트사거리 (기업은행앞)","정기권","","~10대",1,"12.99","0.14",585.93,4
"8","2021-06-01",0,2644,"2644.성내5교 (GS주유소)","정기권","","~10대",1,"13.89","0.09",407.96,3
"9","2021-06-01",0,2817,"2817.천왕이펜하우스5단지 앞","정기권","","~10대",1,"15.64","0.12",506.42,3
"12","2021-06-01",0,2739,"2739.수명산파크1단지교차로","정기권","","~10대",1,"0.00","0.00",0,3
"13","2021-06-01",0,1756,"1756.서울북부광역등기국","정기권","","~10대",1,"14.96","0.13",539.6,6
"15","2021-06-01",0,3508,"3508. 화양사거리","정기권","","~10대",1,"26.14","0.28",1200,6
"16","2021-06-01",0,158,"158. 독립문 어린이 공원","정기권","","~10대",1,"47.82","0.37",1610,8
"17","2021-06-01",0,2186,"2186.우리은행 낙성대역지점","정기권","","~10대",1,"17.53","0.21",922.25,4
"18","2021-06-01",0,797,"797.목동아파트 1422동 1434동 사잇길","정기권","","~10대",1,"0.00","0.00",0,4
"19","2021-06-01",0,3711,"3711. 월계2교 교차로","정기권","","~10대",1,"66.91","0.56",2413.69,11
"21","2021-06-01",0,3612,"3612. 은곡마을","정기권","","~10대",1,"45.56","0.38",1643.58,7
"22","2021-06-01",0,4518,"4518. 청기와빌딩","정기권","","~10대",1,"13.53","0.17",726.78,5
"23","2021-06-01",0,573,"573. 구의문주차장 앞","정기권","","~10대",1,"49.09","0.49",2100.94,11
"24","2021-06-01",0,1211,"1211. 방이삼거리","정기권","","~10대",1,"28.07","0.25",1090.69,7
"37","2021-06-01",0,1653,"1653. 노원역1번출구","정기권","","20대",1,"40.67","0.37",1580,10
"41","2021-06-01",0,1337,"1337. 돈암성당 옆","정기권","","20대",1,"21.81","0.25",1080,9
"42","2021-06-01",0,1964,"1964. 원메디타운 앞","정기권","","20대",1,"22.81","0.23",1010.68,7
"43","2021-06-01",0,1160,"1160. 양천향교역 7번출구앞","정기권","","20대",1,"54.63","0.36",1550,10
"44","2021-06-01",0,1162,"1162. 공항초등학교건너편","정기권","","20대",1,"12.41","0.17",728.56,8
"45","2021-06-01",0,2172,"2172. 나들목공원","정기권","","20대",1,"24.50","0.26",1104.9,7
"46","2021-06-01",0,2173,"2173. 당곡사거리","정기권","","20대",1,"33.72","0.30",1310,8
"49","2021-06-01",0,1726,"1726. 삼익세라믹아파트교차로","정기권","","20대",1,"6.97","0.08",352.12,3
"54","2021-06-01",0,2171,"2171. 서울대입구역 5번출구","정기권","","20대",2,"27.79","0.26",1113.75,7
"55","2021-06-01",0,1167,"1167. 마곡수명산파크3단지 교차로","정기권","","20대",1,"0.00","0.00",0,6
"59","2021-06-01",0,1455,"1455. 상봉역 2번 출구","정기권","","20대",1,"42.04","0.31",1327.03,6
"60","2021-06-01",0,1542,"1542. 삼양사거리역","정기권","","20대",1,"6.92","0.08",364.24,3
"63","2021-06-01",0,1729,"1729. 파리바게트앞","정기권","","20대",1,"72.13","0.47",2046.68,11
"65","2021-06-01",0,1686,"1686. 온수골사거리(스타벅스앞)","정기권","","20대",1,"37.65","0.26",1105.58,8
"67","2021-06-01",0,755,"755. 목동1단지아파트 상가 앞","정기권","","20대",1,"17.86","0.16",693.95,9
"68","2021-06-01",0,1172,"1172. 가양3동 주민센터","정기권","","20대",1,"10.81","0.15",650,3
"71","2021-06-01",0,280,"280. 양평동6차현대아파트 앞","정기권","","20대",1,"6.52","0.06",253.11,3
"72","2021-06-01",0,2066,"2066. 양문교회 앞","정기권","","20대",1,"0.00","0.00",0,11
"76","2021-06-01",0,1060,"1060. 천일초교 사거리","정기권","","20대",1,"40.80","0.26",1107.85,5
"83","2021-06-01",0,2610,"2610. 여흥레이크빌 앞 (석촌호수 까페거리)","정기권","","20대",1,"26.34","0.24",1023.12,9
"84","2021-06-01",0,290,"290. 당산동 SK V1 빌딩","정기권","","20대",1,"32.80","0.41",1762.09,9
"85","2021-06-01",0,1192,"1192. 마곡수명산파크 209동 건너편","정기권","","20대",1,"50.64","0.47",2030,9
"86","2021-06-01",0,2702,"2702. 마곡 엠밸리2단지","정기권","","20대",1,"3.39","0.05",199.33,2
"89","2021-06-01",0,765,"765. 오목교역 3번출구","정기권","","20대",1,"16.72","0.15",649.64,3
"94","2021-06-01",0,477,"477.앰배서더 호텔 주변","정기권","","20대",1,"45.91","0.41",1783.77,11
"95","2021-06-01",0,481,"481.신당역 10번 출구","정기권","","20대",1,"40.62","0.34",1444.86,10
"97","2021-06-01",0,3421,"3421.혜화역 1번출구","정기권","","20대",1,"47.77","0.29",1269.88,6
"99","2021-06-01",0,375,"375. 다산 어린이공원","정기권","","20대",1,"13.06","0.11",492.21,3
"103","2021-06-01",0,383,"383. 신당역 12번 출구 뒤","정기권","","20대",1,"48.07","0.67",2890,8
"105","2021-06-01",0,771,"771.목동아파트 703동 앞","정기권","","20대",1,"9.08","0.08",352.73,3
"108","2021-06-01",0,792,"792.목동트라팰리스 웨스턴에비뉴","정기권","","20대",1,"34.50","0.33",1428.04,11
"109","2021-06-01",0,144,"144. 공덕역 8번출구","정기권","","20대",1,"68.42","0.53",2273.5,11
"111","2021-06-01",0,2908,"2908. 광운대학교 중앙도서관","정기권","","20대",1,"0.00","0.00",0,4
"112","2021-06-01",0,2915,"2915.서울과학기술대학교(어학교육원)","정기권","","20대",1,"13.29","0.14",610,2
"120","2021-06-01",0,3120,"3120.DMC엘가아파트 앞","정기권","","20대",1,"6.75","0.07",283.97,3
"121","2021-06-01",0,982,"982.유니클로 은평점앞","정기권","","20대",1,"23.73","0.20",868.31,5
"128","2021-06-01",0,3573,"3573.광나루안전체험관","정기권","","20대",1,"20.36","0.14",584.26,2
"132","2021-06-01",0,2080,"2080.빕스 대방점 앞","정기권","","20대",1,"49.87","0.43",1851.89,11
"135","2021-06-01",0,4353,"4353. 코오롱디지털타워 3차앞","정기권","","20대",1,"84.03","0.67",2906.71,11
"137","2021-06-01",0,3780,"3780. 등촌서광아파트","정기권","","20대",1,"16.65","0.15",646.99,4
"140","2021-06-01",0,546,"546. 잠실대교북단 교차로","정기권","","20대",1,"43.19","0.32",1363.47,9
"143","2021-06-01",0,601,"601. 용신동주민센터","정기권","","20대",1,"18.41","0.16",693.73,4
"144","2021-06-01",0,3755,"3755. 어위쉬예다인오피스텔","정기권","","20대",1,"29.65","0.22",960,5
"145","2021-06-01",0,602,"602. 장안동 사거리","정기권","","20대",1,"34.42","0.27",1158.91,7
"146","2021-06-01",0,4803,"4803. 상봉2동 주민센터 앞","정기권","","20대",1,"22.99","0.22",967.72,8
"148","2021-06-01",0,4813,"4813. 망우로 버거킹 앞","정기권","","20대",1,"31.93","0.30",1280,10
"149","2021-06-01",0,605,"605. 신설동역8번출구","정기권","","20대",1,"36.25","0.33",1408.25,11
"152","2021-06-01",0,4005,"4005. 중계2차 한화꿈에그린 101동 인근","정기권","","20대",1,"41.62","0.42",1812.09,9
"153","2021-06-01",0,4008,"4008. 하계 어린이 공원","정기권","","20대",1,"16.75","0.20",845.74,9
"155","2021-06-01",0,4028,"4028. 한일유앤아이아파트 105동 인근","정기권","","20대",1,"75.68","0.42",1820,6
"157","2021-06-01",0,4062,"4062. 평화도봉공원 주변","정기권","","20대",1,"50.96","0.41",1762.74,11
"162","2021-06-01",0,242,"242. 신길선원가와인아파트 앞","정기권","","20대",1,"32.58","0.26",1126.95,5
"163","2021-06-01",0,244,"244. 영등포삼환아파트 앞","정기권","","20대",2,"35.33","0.36",1523.48,11
"164","2021-06-01",0,255,"255. 도림사거리","정기권","","20대",1,"14.62","0.16",710,7
"167","2021-06-01",0,713,"713. 양서중학교 옆","정기권","","20대",1,"0.00","0.00",0,5
"168","2021-06-01",0,184,"184. SK망원동주유소 건너편","정기권","","20대",1,"24.35","0.31",1336.5,9
"170","2021-06-01",0,134,"134. 연세로 명물길","정기권","","20대",1,"27.64","0.27",1163.11,11
"172","2021-06-01",0,137,"137. NH농협 신촌지점 앞","정기권","","20대",1,"108.29","0.91",3906.62,11
"178","2021-06-01",0,822,"822. 이촌1동 마을공원","정기권","","20대",1,"35.78","0.32",1390,11
"179","2021-06-01",0,585,"585. 성수2가1동 공영주차장 인근","정기권","","20대",1,"32.89","0.35",1510.01,11
"180","2021-06-01",0,904,"904. 은평뉴타운 푸르지오","정기권","","20대",1,"28.78","0.26",1118.04,9
"181","2021-06-01",0,905,"905. 구파발역 2번출구","정기권","","20대",1,"0.00","0.00",0,9
"182","2021-06-01",0,909,"909. 백련산 힐스테이트 3차","정기권","","20대",1,"0.00","0.00",0,11
"187","2021-06-01",0,1102,"1102. 방화사거리 마을버스 버스정류장","정기권","","20대",1,"15.68","0.15",660,6
"194","2021-06-01",0,1425,"1425. 용마문화복지센터","정기권","","20대",1,"28.62","0.21",926.64,6
"197","2021-06-01",0,215,"215. 여의도고교 앞","정기권","","20대",1,"77.01","0.66",2860,10
"201","2021-06-01",0,1321,"1321. 국민은행 종암동지점 앞","정기권","","20대",2,"32.88","0.36",1551.24,10
"203","2021-06-01",0,1920,"1920. 서울미래초등학교 사거리","정기권","","20대",1,"53.97","0.45",1919.57,10
"204","2021-06-01",0,2016,"2016. 신대방삼거리역 3번출구쪽","정기권","","20대",1,"31.81","0.26",1115.63,7
"206","2021-06-01",0,2112,"2112. 서울대입구역 마에스트로","정기권","","20대",1,"33.80","0.26",1123.2,5
"209","2021-06-01",0,1619,"1619. 중계동 하나프라자빌딩 앞(중1-1)","정기권","","20대",1,"16.14","0.16",702.55,5
"213","2021-06-01",0,2326,"2326. 대치동 삼성로","정기권","","20대",1,"54.80","0.46",1976.75,10
"215","2021-06-01",0,1110,"1110. 공항중학교앞","정기권","","20대",1,"36.69","0.25",1090,6
"216","2021-06-01",0,1103,"1103. 방화역 4번출구앞","정기권","","20대",1,"13.35","0.09",406.26,2
"218","2021-06-01",0,1212,"1212. 송파역 2번 출구앞","정기권","","20대",1,"35.05","0.23",983.46,9
"219","2021-06-01",0,1430,"1430. 중랑구청","정기권","","20대",1,"29.46","0.29",1240,5
"220","2021-06-01",0,1433,"1433. 중화역 2번출구","정기권","","20대",1,"41.58","0.32",1400,9
"222","2021-06-01",0,1630,"1630. 수연빌딩 앞","정기권","","20대",1,"8.45","0.10",444.78,3
"223","2021-06-01",0,1941,"1941. 오류동역 2번출구","정기권","","20대",1,"21.84","0.20",848.54,6
"224","2021-06-01",0,2109,"2109. 은천로입구 가로공원","정기권","","20대",2,"41.02","0.34",1480,8
"225","2021-06-01",0,1218,"1218. 방이역 4번출구","정기권","","20대",1,"23.18","0.21",900.65,6
"231","2021-06-01",0,2355,"2355. 삼성역 5~6번 출구 사이","정기권","","20대",1,"24.08","0.22",950,8
"235","2021-06-01",0,426,"426. 서울신용보증재단","정기권","","20대",1,"34.89","0.28",1223.68,8
"239","2021-06-01",0,1032,"1032. 선사고등학교","정기권","","30대",1,"34.77","0.24",1032.9,5
"241","2021-06-01",0,1157,"1157. 강서구청","정기권","","30대",1,"47.77","0.37",1608.57,7
"245","2021-06-01",0,3509,"3509. 세종사이버대학교","정기권","","30대",1,"16.70","0.13",570,3
"248","2021-06-01",0,1050,"1050.  둔촌역 3번 출입구","정기권","","30대",1,"26.71","0.17",749.42,9
"250","2021-06-01",0,1988,"1988. 고척LIGA아파트 앞","정기권","","30대",1,"30.14","0.23",975.66,10
"251","2021-06-01",0,659,"659. 제기역1번출구","정기권","","30대",1,"0.00","0.00",0,6
"252","2021-06-01",0,117,"117. 홍은사거리","정기권","","30대",1,"65.30","0.45",1940,11
"254","2021-06-01",0,361,"361. 동묘앞역 1번출구 뒤","정기권","","30대",1,"78.41","0.46",1980,11
"255","2021-06-01",0,3418,"3418.창신역2번 출구","정기권","","30대",1,"26.14","0.20",880,4
"257","2021-06-01",0,2649,"2649.오금공원사거리2","정기권","","30대",1,"39.62","0.20",870,3
"258","2021-06-01",0,2423,"2423.영희초교 사거리(래미안개포루체하임)","정기권","","30대",1,"22.97","0.13",580,3
"262","2021-06-01",0,2720,"2720.힐스테이트에코","정기권","","30대",1,"39.40","0.36",1530.61,10
"263","2021-06-01",0,146,"146. 마포역 2번출구 뒤","정기권","","30대",1,"23.38","0.19",820,3
"264","2021-06-01",0,2724,"2724.(재)FITI시험연구원","정기권","","30대",1,"35.40","0.30",1277.16,8
"267","2021-06-01",0,1554,"1554.번동사거리","정기권","","30대",1,"41.00","0.23",986,6
"269","2021-06-01",0,849,"849. 삼각지 자이아파트","정기권","","30대",1,"11.80","0.08",350.43,1
"272","2021-06-01",0,1470,"1470.중화동 우리은행 앞","정기권","","30대",1,"34.23","0.31",1330,6
"277","2021-06-01",0,3614,"3614. 은마아파트 입구 사거리","정기권","","30대",1,"35.01","0.28",1227.78,8
"278","2021-06-01",0,609,"609. 제기2교","정기권","","30대",1,"10.02","0.11",459.97,8
"279","2021-06-01",0,247,"247. 당산역 10번출구 앞","정기권","","30대",1,"12.77","0.10",430,2
"280","2021-06-01",0,253,"253. 신풍역 5번출구 인근","정기권","","30대",1,"44.02","0.40",1710,9
"282","2021-06-01",0,633,"633. 청량리 기업은행 앞","정기권","","30대",1,"38.35","0.35",1490,8
"283","2021-06-01",0,634,"634. 외국어대 정문 앞","정기권","","30대",1,"29.84","0.27",1159.44,8
"284","2021-06-01",0,636,"636. 세종대왕기념관 교차로","정기권","","30대",1,"54.54","0.36",1530.29,5
"286","2021-06-01",0,922,"922. 연신내역 4번출구","정기권","","30대",1,"37.78","0.25",1060,8
"287","2021-06-01",0,930,"930. 구 서부경찰서 건너편","정기권","","30대",1,"26.68","0.31",1347.26,8
"288","2021-06-01",0,1022,"1022. 길동 사거리(초소앞)","정기권","","30대",1,"23.16","0.19",812.25,3
"289","2021-06-01",0,589,"589. 성수역3번출구","정기권","","30대",1,"27.56","0.22",928.05,8
"295","2021-06-01",0,1606,"1606. 태릉입구역 3번출구 ","정기권","","30대",1,"40.93","0.37",1590,8
"297","2021-06-01",0,1525,"1525. 미아동 복합청사","정기권","","30대",1,"54.62","0.32",1379.38,7
"298","2021-06-01",0,222,"222. 시범아파트버스정류장 옆","정기권","","30대",1,"21.21","0.15",630,3
